tp,op,hhtested,version
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.006,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.005,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.004,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.004,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.003,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.002,0.6,clnrs
0.4,0.001,0.6,clnrs
0.4,0.001,0.6,clnrs
0.5,0.003,30%,clnrs
0.5,0.007,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.002,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.002,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.002,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.002,30%,clnrs
0.5,0.006,30%,clnrs
0.5,0,30%,clnrs
0.5,0.008,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.003,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.004,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.005,30%,clnrs
0.5,0.001,30%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0.005,40%,clnrs
0.5,0,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.004,40%,clnrs
0.5,0.006,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.002,40%,clnrs
0.5,0.003,40%,clnrs
0.5,0.001,40%,clnrs
0.5,0,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.006,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.006,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.007,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.001,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.005,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.004,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0,50%,clnrs
0.5,0,50%,clnrs
0.5,0.003,50%,clnrs
0.5,0.002,50%,clnrs
0.5,0.004,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.005,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.005,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.005,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.005,60%,clnrs
0.5,0.002,60%,clnrs
0.5,0.004,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.003,60%,clnrs
0.5,0.001,60%,clnrs
0.5,0.001,60%,clnrs
